1000, 50, 10, 10
2000, 10, 0, 10
3000, 0, 10, 0
4000, 0, 10, 0
5000, 10, 10, 10
6000, 10, 20, 0
7000, 10, 20, 0
8000, 10, 20, 10
9000, 10, 30, 10
10000, 10, 30, 0
11000, 10, 30, 10
12000, 10, 30, 10
13000, 10, 30, 10
14000, 11, 40, 10
15000, 20, 40, 10
16000, 20, 40, 10
17000, 20, 40, 10
18000, 20, 50, 10
19000, 20, 50, 10
20000, 20, 50, 10
21000, 21, 50, 10
22000, 20, 60, 10
23000, 20, 60, 10
24000, 30, 60, 10
25000, 20, 60, 10
26000, 30, 60, 10
27000, 30, 70, 10
28000, 30, 70, 10
29000, 30, 70, 10
30000, 30, 70, 10
31000, 31, 70, 10
32000, 30, 70, 10
33000, 30, 70, 10
34000, 40, 80, 10
35000, 31, 70, 10
36000, 40, 70, 10
37000, 40, 80, 10
38000, 40, 70, 10
39000, 41, 70, 10
40000, 40, 80, 10
41000, 40, 80, 10
42000, 40, 90, 20
43000, 40, 90, 10
44000, 50, 70, 20
45000, 50, 80, 20
46000, 50, 80, 20
47000, 50, 90, 20
48000, 50, 80, 10
49000, 51, 110, 10
50000, 60, 110, 10
51000, 50, 80, 20
52000, 51, 90, 20
53000, 50, 80, 20
54000, 60, 110, 20
55000, 51, 80, 20
56000, 60, 120, 20
57000, 60, 80, 20
58000, 61, 130, 20
59000, 60, 90, 20
60000, 60, 90, 20
61000, 60, 120, 20
62000, 70, 120, 20
63000, 61, 50, 20
64000, 60, 90, 20
65000, 60, 130, 20
66000, 71, 120, 20
67000, 70, 90, 20
68000, 71, 80, 20
69000, 80, 90, 20
70000, 70, 90, 20
71000, 71, 90, 20
72000, 80, 80, 20
73000, 70, 90, 20
74000, 71, 100, 20
75000, 80, 90, 20
76000, 80, 90, 20
77000, 80, 130, 20
78000, 81, 90, 20
79000, 80, 170, 20
80000, 81, 90, 20
81000, 90, 160, 30
82000, 80, 100, 20
83000, 80, 100, 30
84000, 81, 100, 30
85000, 80, 100, 20
86000, 91, 100, 30
87000, 80, 110, 20
88000, 91, 100, 30
89000, 90, 110, 30
90000, 90, 110, 30
91000, 100, 110, 30
92000, 91, 110, 30
93000, 90, 120, 30
94000, 101, 150, 30
95000, 90, 140, 30
96000, 100, 130, 30
97000, 90, 110, 30
98000, 100, 120, 30
99000, 90, 120, 30
100000, 100, 140, 30
