1000, 27, 0, 10
2000, 10, 10, 10
3000, 10, 10, 10
4000, 0, 10, 10
5000, 10, 10, 10
6000, 5, 10, 10
7000, 10, 20, 13
8000, 7, 23, 8
9000, 10, 20, 10
10000, 10, 30, 10
11000, 10, 31, 11
12000, 10, 32, 20
13000, 10, 40, 13
14000, 10, 40, 13
15000, 20, 40, 20
16000, 20, 44, 16
17000, 20, 51, 20
18000, 20, 54, 20
19000, 21, 57, 20
20000, 20, 58, 20
21000, 20, 59, 21
22000, 20, 59, 30
23000, 20, 65, 22
24000, 30, 66, 30
25000, 20, 69, 30
26000, 30, 73, 30
27000, 30, 67, 20
28000, 30, 70, 20
29000, 30, 78, 20
30000, 30, 76, 30
31000, 30, 69, 20
32000, 31, 70, 25
33000, 40, 78, 23
34000, 40, 68, 30
35000, 40, 74, 30
36000, 40, 81, 30
37000, 40, 76, 30
38000, 40, 73, 30
39000, 50, 95, 30
40000, 40, 75, 30
41000, 40, 81, 33
42000, 41, 77, 40
43000, 40, 81, 31
44000, 40, 86, 39
45000, 50, 80, 40
46000, 50, 85, 40
47000, 50, 86, 40
48000, 51, 87, 40
49000, 50, 84, 40
50000, 50, 86, 40
51000, 51, 84, 40
52000, 50, 88, 40
53000, 50, 89, 40
54000, 60, 86, 40
55000, 50, 93, 40
56000, 60, 92, 42
57000, 60, 82, 40
58000, 60, 88, 42
59000, 60, 85, 42
60000, 60, 86, 43
61000, 60, 135, 50
62000, 61, 93, 50
63000, 60, 85, 50
64000, 70, 87, 50
65000, 70, 88, 50
66000, 70, 90, 50
67000, 70, 94, 50
68000, 71, 134, 50
69000, 70, 131, 60
70000, 71, 69, 50
71000, 70, 92, 50
72000, 80, 134, 60
73000, 70, 93, 60
74000, 71, 100, 56
75000, 80, 95, 60
76000, 80, 99, 60
77000, 80, 98, 60
78000, 81, 134, 60
79000, 80, 108, 60
80000, 81, 97, 60
81000, 80, 97, 60
82000, 80, 103, 60
83000, 90, 110, 60
84000, 81, 108, 70
85000, 80, 109, 70
86000, 90, 102, 70
87000, 90, 102, 64
88000, 91, 108, 70
89000, 90, 117, 70
90000, 91, 111, 70
91000, 90, 109, 70
92000, 90, 107, 70
93000, 100, 113, 70
94000, 91, 115, 70
95000, 90, 115, 70
96000, 91, 121, 70
97000, 100, 127, 73
98000, 110, 114, 70
99000, 100, 138, 73
100000, 100, 115, 74
